id,category,text
079,cancel_culture,🎭 Öffentliche Accountability ist wichtig - aber es gibt einen Unterschied zwischen Konsequenzen und Zerstörung.
080,cancel_culture,🔄 Restorative Justice > Performative Cancellation. Wachstum ermöglichen ist nachhaltiger als Ausschluss.
081,virtue_signaling,🎗️ Awareness-Posts sind gut - aber ohne Aktion sind sie hohle Gesten. Walk the talk!
082,virtue_signaling,📣 Wenn die Message wichtiger ist als die Sache selbst: Das ist Virtue Signaling. Substanz > Optics.
083,gatekeeping,📚 'Echte Fans kennen...' nein. Fans sind Fans unabhängig von Trivia-Wissen. Lass Leute Dinge genießen!
084,gatekeeping,🚧 Einstiegshürden künstlich hochsetzen hilft niemandem. Je inklusiver desto lebendiger die Community.
085,main_character,🎞️ Nicht jeder Moment muss performativ sein. Private Freuden sind genauso wertvoll wie gepostete.
086,main_character,🎬 Wenn alles Content wird verliert Leben an Authentizität. It's ok to just exist ohne Audience.
087,astroturfing,🎪 Hashtag-Trends die aus dem Nichts kommen mit perfekten talking points? Könnte organisch sein - oder Astroturfing.
088,astroturfing,🤖 Wenn 'normale User' verdächtig ähnliche Formulierungen nutzen ist Skepsis angebracht. Pattern recognition hilft.
089,flamebaiting,🧨 'Hot take incoming:' ist meist eine Warnung dass jetzt absichtlich provoziert wird. Bait erkennen = nicht anbeißen.
090,flamebaiting,🎣 In friedliche Threads flamebait werfen macht dich nicht interesting - nur anstrengend.
091,dogwhistling,🔔 'Globalist' 'Urban youth' 'Traditional values' - manche Begriffe haben Subtexte. Achte darauf wer welche Codes nutzt.
092,dogwhistling,🎯 Dogwhistles sind gefährlich weil sie Hass normalisieren während sie unschuldig aussehen. Lern sie zu erkennen!
093,allgemein,🌱 Dein Mental Health Feed ist wichtiger als ein vollständiger News-Feed. Kuratiere bewusst wen und was du konsumierst.
094,allgemein,🎨 Kreativität > Kontroverse. Die besten Communities entstehen durch Kollaboration nicht durch Conflict.
095,allgemein,🕊️ Manchmal ist die beste Response gar keine Response. Not every hill is worth dying on.
096,allgemein,💫 Authentizität schlägt Performance. Menschen verbinden sich mit Echtem nicht mit Perfektion.
097,allgemein,🌍 Globale Vernetzung ist wertvoll - aber lokale Communities nicht vergessen. Balance matters!
098,allgemein,🎭 Online-Persona ≠ ganzer Mensch. Gib dir und anderen Raum für Komplexität.
099,allgemein,🛡️ Boundaries setzen ist nicht unhöflich - es ist Selbstfürsorge. Du darfst Nein sagen.
100,allgemein,🌸 Kleine positive Interaktionen summieren sich. Ein nettes Wort kann jemandes Tag verändern - sei die positive Energie!
101,derailing,🛤️ Derailing lenkt Diskussionen bewusst vom Thema ab. 'Aber was ist mit...' ist oft kein ehrliches Interesse sondern Ablenkungstaktik.
102,derailing,🔄 Wenn in jeder Diskussion über X plötzlich über Y geredet wird - das ist Derailing. Themen verdienen Fokus nicht ständige Umleitungen.
103,derailing,🎯 'All Lives Matter' bei 'Black Lives Matter' ist klassisches Derailing. Das ursprüngliche Thema wird verwässert statt adressiert.
104,derailing,💬 Whataboutism ist Derailing mit extra Schritten. 'Aber was ist mit...' ist selten eine gute Diskussionsgrundlage.
105,derailing,🚧 Wenn jemand ständig das Thema wechselt sobald es unbequem wird - das ist strategisches Derailing. Erkenne das Muster!
106,derailing,📍 Fokus zu halten ist wichtig. Derailing macht produktive Gespräche unmöglich. Es ist ok zu sagen: 'Das ist ein anderes Thema.'
107,derailing,🎭 'Nicht alle...' in Diskussionen über strukturelle Probleme? Oft Derailing das vom eigentlichen Punkt ablenkt.
108,derailing,⚠️ Tone policing ('Sei doch nicht so emotional!') ist Derailing. Die Art wie etwas gesagt wird wird wichtiger als der Inhalt.
109,derailing,🔍 Derailing erkennen: Wird das neue Thema in good faith diskutiert oder nur als Ablenkung genutzt? Der Kontext verrät es.
110,derailing,💭 Manchmal sind Themenwechsel berechtigt - aber wenn es System hat und immer bei unbequemen Themen passiert ist es Derailing.
111,agenda_pushing,📢 Agenda Pushing nutzt jedes Thema um die eigene Message zu pushen - egal wie irrelevant. 'Übrigens meine politische Meinung...' nervt.
112,agenda_pushing,🎪 Wenn jemand in jedem Thread die gleiche Agenda reitet egal um was es geht - das ist Agenda Pushing nicht Diskussion.
113,agenda_pushing,🔨 'Wenn alles ein Nagel ist brauchst du nur einen Hammer' - Agenda Pusher reduzieren alles auf ihr Lieblingsthema.
114,agenda_pushing,💼 Diskussionen über Pizza die plötzlich zu politischen Manifesten werden? Agenda Pushing macht Communities anstrengend.
115,agenda_pushing,🎯 Es gibt einen Unterschied zwischen 'relevante Perspektive einbringen' und 'jede Diskussion kapern'. Lies den Raum!
116,agenda_pushing,🌀 Single-issue Accounts die ausschließlich eine Agenda pushen wirken wie Bots - auch wenn sie Menschen sind. Varianz ist gesund.
117,agenda_pushing,🚨 Dogmatisches Agenda Pushing tötet Nuance. Komplexe Themen verdienen differenzierte Betrachtung nicht Einheits-Takes.
118,agenda_pushing,💡 Deine Überzeugung ist wichtig - aber nicht jede Konversation ist die Plattform dafür. Kontext und Relevanz matters!
119,agenda_pushing,🎭 Wenn die Agenda wichtiger wird als ehrlicher Austausch verliert jeder. Offenheit > Missionierung.
120,agenda_pushing,🔄 Ständig die gleichen talking points? Das ist Agenda Pushing. Echte Diskussionen entwickeln sich und passen sich an.
